Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 18/08/2021
TIME       : 20:27:52
FILENAME   : C:\Users\JOKAM LINE\Documents\ProSEP\Mission\Juillet2021\Data\Datalogger\PROSEP\CSV\Douka_Longo_210818202752_X0709.CSV
CREATED BY : Diver-Office 11.2.0.1
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..06-X0709  317.
  Instrument number       =          UTC+1     
                          =0
  Location                =Douka_Longo
  Sample period           =M60
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Channel 3]
  Identification          =1: CONDUCTIVITY
  Reference level         =0,000     ms/cm
  Range                   =30,000    ms/cm


[Series settings]
  Serial number           =..06-X0709  317.
  Instrument number       =          UTC+1     
  Location                =Douka_Longo
  Sample period           =00 00:60:00 0
  Sample method           =T   
  Start date / time       =00:00:12 24/03/21
  End date / time         =00:00:10 17/08/21
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Channel 3 from data header]
  Identification          =1: CONDUCTIVITY
  Reference level         =0,000     ms/cm
  Range                   =30,000    ms/cm


Date/time;Pressure[cmH2O];Temperature[°C];1:Conductivity[ms/cm]
2021/04/04 19:00:00;1003,050;26,720;0,000
2021/04/04 20:00:00;1003,750;24,837;0,000
2021/04/04 21:00:00;1004,333;23,783;0,000
2021/04/04 22:00:00;1004,858;22,633;0,000
2021/04/04 23:00:00;1005,033;21,770;0,000
2021/04/05 00:00:00;1004,858;21,053;0,000
2021/04/05 01:00:00;1004,450;20,470;0,000
2021/04/05 02:00:00;1003,983;19,847;0,000
2021/04/05 03:00:00;1004,042;19,370;0,000
2021/04/05 04:00:00;1004,450;19,017;0,000
2021/04/05 05:00:00;1004,975;18,570;0,000
2021/04/05 06:00:00;1005,558;18,217;0,000
2021/04/05 07:00:00;1006,317;19,617;0,000
2021/04/05 08:00:00;1006,900;24,080;0,000
2021/04/05 09:00:00;1007,017;29,420;0,000
2021/04/05 10:00:00;1006,900;34,230;0,000
2021/04/05 11:00:00;1006,492;35,977;0,000
2021/04/05 12:00:00;1005,325;36,980;0,000
2021/04/05 13:00:00;1003,692;39,937;0,000
2021/04/05 14:00:00;1002,117;40,907;0,000
2021/04/05 15:00:00;1001,242;38,453;0,000
2021/04/05 16:00:00;1000,600;37,553;0,000
2021/04/05 17:00:00;1000,600;37,683;0,000
2021/04/05 18:00:00;1000,892;32,567;0,000
2021/04/05 19:00:00;1001,358;27,710;0,000
2021/04/05 20:00:00;1002,758;26,060;0,000
2021/04/05 21:00:00;1002,933;24,987;0,000
2021/04/05 22:00:00;1003,400;24,100;0,000
2021/04/05 23:00:00;1003,400;23,360;0,000
2021/04/06 00:00:00;1003,283;22,857;0,000
2021/04/06 01:00:00;1002,817;22,447;0,000
2021/04/06 02:00:00;1002,525;22,080;0,000
2021/04/06 03:00:00;1002,525;21,507;0,000
2021/04/06 04:00:00;1003,050;21,090;0,000
2021/04/06 05:00:00;1003,692;20,477;0,000
2021/04/06 06:00:00;1004,275;19,990;0,000
2021/04/06 07:00:00;1005,208;21,310;0,000
2021/04/06 08:00:00;1005,908;25,497;0,000
2021/04/06 09:00:00;1005,967;30,167;0,000
2021/04/06 10:00:00;1006,317;34,693;0,000
2021/04/06 11:00:00;1005,617;36,747;0,000
2021/04/06 12:00:00;1004,392;37,753;0,000
2021/04/06 13:00:00;1003,050;40,940;0,000
2021/04/06 14:00:00;1001,942;41,843;0,000
2021/04/06 15:00:00;1000,600;39,777;0,000
2021/04/06 16:00:00;1000,017;39,143;0,000
2021/04/06 17:00:00;999,783;39,950;0,000
2021/04/06 18:00:00;999,900;33,780;0,000
2021/04/06 19:00:00;1000,367;28,150;0,000
2021/04/06 20:00:00;1001,183;26,377;0,000
2021/04/06 21:00:00;1002,000;25,323;0,000
2021/04/06 22:00:00;1002,700;24,260;0,000
2021/04/06 23:00:00;1002,817;23,533;0,000
2021/04/07 00:00:00;1002,817;22,790;0,000
2021/04/07 01:00:00;1002,583;22,143;0,000
2021/04/07 02:00:00;1002,525;22,080;0,000
2021/04/07 03:00:00;1003,108;22,670;0,000
2021/04/07 04:00:00;1003,167;22,147;0,000
2021/04/07 05:00:00;1004,100;22,357;0,000
2021/04/07 06:00:00;1004,742;22,527;0,000
2021/04/07 07:00:00;1005,500;23,547;0,000
2021/04/07 08:00:00;1006,725;26,447;0,000
2021/04/07 09:00:00;1007,133;30,930;0,000
2021/04/07 10:00:00;1006,550;35,753;0,000
2021/04/07 11:00:00;1005,792;37,090;0,000
2021/04/07 12:00:00;1004,858;38,733;0,000
2021/04/07 13:00:00;1003,400;41,213;0,000
2021/04/07 14:00:00;1002,233;41,687;0,000
2021/04/07 15:00:00;1001,358;41,063;0,000
2021/04/07 16:00:00;1000,717;39,927;0,000
2021/04/07 17:00:00;1000,483;38,107;0,000
2021/04/07 18:00:00;1000,775;31,897;0,000
2021/04/07 19:00:00;1001,475;28,140;0,000
2021/04/07 20:00:00;1002,233;26,820;0,000
2021/04/07 21:00:00;1002,758;25,833;0,000
2021/04/07 22:00:00;1003,108;24,940;0,000
2021/04/07 23:00:00;1003,400;23,987;0,000
2021/04/08 00:00:00;1002,992;23,233;0,000
2021/04/08 01:00:00;1002,817;23,117;0,000
2021/04/08 02:00:00;1002,817;23,403;0,000
2021/04/08 03:00:00;1002,583;23,223;0,000
2021/04/08 04:00:00;1002,817;23,023;0,000
2021/04/08 05:00:00;1003,458;21,753;0,000
2021/04/08 06:00:00;1004,158;21,063;0,000
2021/04/08 07:00:00;1005,092;22,197;0,000
2021/04/08 08:00:00;1005,733;26,180;0,000
2021/04/08 09:00:00;1006,433;31,180;0,000
2021/04/08 10:00:00;1006,142;35,373;0,000
2021/04/08 11:00:00;1005,150;37,630;0,000
2021/04/08 12:00:00;1004,042;39,100;0,000
2021/04/08 13:00:00;1002,583;42,337;0,000
2021/04/08 14:00:00;1000,775;43,013;0,000
2021/04/08 15:00:00;999,608;40,517;0,000
2021/04/08 16:00:00;999,025;40,203;0,000
2021/04/08 17:00:00;998,442;40,417;0,000
2021/04/08 18:00:00;999,083;36,600;0,000
2021/04/08 19:00:00;999,258;29,693;0,000
2021/04/08 20:00:00;1000,250;27,503;0,000
2021/04/08 21:00:00;1001,242;27,647;0,000
2021/04/08 22:00:00;1001,767;26,957;0,000
2021/04/08 23:00:00;1001,358;25,587;0,000
2021/04/09 00:00:00;1001,708;25,057;0,000
2021/04/09 01:00:00;1001,242;25,177;0,000
