Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 18/08/2021
TIME       : 20:27:53
FILENAME   : C:\Users\JOKAM LINE\Documents\ProSEP\Mission\Juillet2021\Data\Datalogger\PROSEP\CSV\Rabingha_Baro_210818202752_BX059.CSV
CREATED BY : Diver-Office 11.2.0.1
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =BB00-BX059  219.
  Instrument number       =          UTC+1     
                          =0
  Location                =Rabingha_Baro
  Sample period           =H01
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =750,000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Series settings]
  Serial number           =BB00-BX059  219.
  Instrument number       =          UTC+1     
  Location                =Rabingha_Baro
  Sample period           =00 01:00:00 0
  Sample method           =T   
  Start date / time       =00:00:17 25/03/21
  End date / time         =00:00:13 18/08/21
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =750,000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


Date/time;Pressure[cmH2O];Temperature[°C]
2021/04/11 22:00:00;992,600;29,693
2021/04/11 23:00:00;992,700;29,547
2021/04/12 00:00:00;992,700;29,367
2021/04/12 01:00:00;992,050;29,070
2021/04/12 02:00:00;992,300;28,750
2021/04/12 03:00:00;992,650;28,577
2021/04/12 04:00:00;992,200;28,450
2021/04/12 05:00:00;992,850;28,200
2021/04/12 06:00:00;993,250;28,177
2021/04/12 07:00:00;994,325;27,903
2021/04/12 08:00:00;995,200;27,530
2021/04/12 09:00:00;995,725;28,130
2021/04/12 10:00:00;995,675;28,943
2021/04/12 11:00:00;994,950;29,077
2021/04/12 12:00:00;993,775;29,523
2021/04/12 13:00:00;992,525;31,093
2021/04/12 14:00:00;991,350;32,523
2021/04/12 15:00:00;990,575;33,583
2021/04/12 16:00:00;989,700;32,677
2021/04/12 17:00:00;989,450;31,327
2021/04/12 18:00:00;990,050;30,093
2021/04/12 19:00:00;990,575;29,350
2021/04/12 20:00:00;991,575;29,327
2021/04/12 21:00:00;992,425;29,297
2021/04/12 22:00:00;992,825;29,093
2021/04/12 23:00:00;992,950;28,973
2021/04/13 00:00:00;992,550;28,803
2021/04/13 01:00:00;991,950;28,640
2021/04/13 02:00:00;991,400;28,537
2021/04/13 03:00:00;991,950;28,507
2021/04/13 04:00:00;992,075;28,467
2021/04/13 05:00:00;992,775;28,467
2021/04/13 06:00:00;993,300;28,647
2021/04/13 07:00:00;994,200;28,053
2021/04/13 08:00:00;994,800;27,507
2021/04/13 09:00:00;994,850;27,280
2021/04/13 10:00:00;994,800;27,343
2021/04/13 11:00:00;994,725;27,897
2021/04/13 12:00:00;994,250;28,687
2021/04/13 13:00:00;993,250;29,437
2021/04/13 14:00:00;992,300;29,390
2021/04/13 15:00:00;991,475;28,780
2021/04/13 16:00:00;991,100;28,583
2021/04/13 17:00:00;991,050;28,647
2021/04/13 18:00:00;991,850;28,357
2021/04/13 19:00:00;993,550;27,547
2021/04/13 20:00:00;994,650;26,890
2021/04/13 21:00:00;997,150;26,677
2021/04/13 22:00:00;997,750;25,820
2021/04/13 23:00:00;996,900;24,757
2021/04/14 00:00:00;995,250;24,820
2021/04/14 01:00:00;993,475;24,717
2021/04/14 02:00:00;992,525;24,810
2021/04/14 03:00:00;992,425;24,833
2021/04/14 04:00:00;992,350;24,773
2021/04/14 05:00:00;992,475;24,740
2021/04/14 06:00:00;993,425;25,187
2021/04/14 07:00:00;994,425;25,990
2021/04/14 08:00:00;995,325;26,343
2021/04/14 09:00:00;996,025;26,757
2021/04/14 10:00:00;996,025;28,123
2021/04/14 11:00:00;995,675;29,147
2021/04/14 12:00:00;994,600;30,030
2021/04/14 13:00:00;993,650;31,630
2021/04/14 14:00:00;992,300;32,380
2021/04/14 15:00:00;991,350;33,653
2021/04/14 16:00:00;990,100;32,750
2021/04/14 17:00:00;989,800;31,553
2021/04/14 18:00:00;989,925;30,030
2021/04/14 19:00:00;990,950;29,483
2021/04/14 20:00:00;991,650;28,750
2021/04/14 21:00:00;992,125;28,663
2021/04/14 22:00:00;992,875;28,600
2021/04/14 23:00:00;992,500;28,403
2021/04/15 00:00:00;992,175;28,077
2021/04/15 01:00:00;991,425;27,750
2021/04/15 02:00:00;991,125;27,500
2021/04/15 03:00:00;991,375;27,217
2021/04/15 04:00:00;991,400;26,973
2021/04/15 05:00:00;991,850;26,780
2021/04/15 06:00:00;992,775;27,310
